Hand,A,K,Q,J,10,9,8,7,6,5,4,3,2
A,71.8,50.7467,50.2967,48.56,46.92,44.2783,42.825,41.6367,38.9383,39.0167,39.9917,37.845,37.6267
K,48.3067,68.56,49.545,46.4967,46.1383,43.2383,40.97,40.3167,38.005,36.305,35.74,34.5867,32.885
Q,46.3567,46.1867,66.595,47.0817,44.8483,42.7983,39.7,36.1883,36.1333,34.7467,32.7367,32.0167,30.7583
J,47.0283,44.6733,44.18,63.7383,45.0183,42.3983,38.9733,35.58,34.0433,32.64,30.4283,30.4367,29.0633
10,45.1483,44.0033,42.6583,42.1433,59.9033,41.26,38.2,35.19,32.7533,31.38,29.4217,29.515,27.5433
9,41.7167,40.5383,39.3817,39.37,37.8333,54.79,36.6683,34.5367,32.3233,29.86,28.5683,27.0917,26.5583
8,40.2617,36.2867,36.4917,34.9683,35.0783,33.5017,50.105,34.725,31.66,29.52,27.5283,25.965,25.8867
7,38.6,35.8233,34.0833,32.5817,32.305,31.2367,30.8683,45.41,31.9917,29.0733,27.7267,25.3383,23.9667
6,36.53,34.9417,32.2417,30.105,29.455,29.125,28.1767,28.5883,41.0983,29.8417,27.605,25.955,25.035
5,36.36,33.4317,30.06,28.665,27.0117,26.4183,26.75,25.8067,25.9117,38.5017,28.2567,26.2183,24.695
4,35.1967,31.9633,29.3867,27.095,25.435,23.5217,23.5583,25.045,24.06,25.775,35.555,26.1183,24.475
3,35.2567,30.265,28.12,26.2233,24.9017,23.0483,22.005,21.365,21.975,22.6117,22.2333,32.745,24.2867
2,33.1283,29.625,27.11,25.645,23.445,22.4367,20.8617,20.615,20.4283,21.2917,20.81,19.615,30.675
